,lemma,next-lemma,next-next-lemma,next-next-pos,next-next-shape,next-next-word,next-pos,next-shape,next-word,pos,prev-iob,prev-lemma,prev-pos,prev-prev-iob,prev-prev-lemma,prev-prev-pos,prev-prev-shape,prev-prev-word,prev-shape,prev-word,sentence_idx,shape,word,tag
2112,in,islamist-control,mogadishu,NNP,capitalized,Mogadishu,JJ,contains-hyphen,Islamist-controlled,IN,O,work,VBD,O,she,PRP,lowercase,she,lowercase,worked,92,lowercase,in,O
2113,islamist-control,mogadishu,",",",",punct,",",NNP,capitalized,Mogadishu,JJ,O,in,IN,O,work,VBD,lowercase,worked,lowercase,in,92,contains-hyphen,Islamist-controlled,O
2114,mogadishu,",",somalia,NNP,capitalized,Somalia,",",punct,",",NNP,O,islamist-control,JJ,O,in,IN,lowercase,in,contains-hyphen,Islamist-controlled,92,capitalized,Mogadishu,B-geo
2115,",",somalia,.,.,punct,.,NNP,capitalized,Somalia,",",B-geo,mogadishu,NNP,O,islamist-control,JJ,contains-hyphen,Islamist-controlled,capitalized,Mogadishu,92,punct,",",O
2116,somalia,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNP,O,",",",",B-geo,mogadishu,NNP,capitalized,Mogadishu,punct,",",92,capitalized,Somalia,B-geo
2117,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,B-geo,somalia,NNP,O,",",",",punct,",",capitalized,Somalia,92,punct,.,O
2118,some,wit,to,TO,lowercase,to,NNS,lowercase,witnesses,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,93,capitalized,Some,O
2119,wit,to,the,DT,lowercase,the,TO,lowercase,to,NNS,O,some,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Some,93,lowercase,witnesses,O
2120,to,the,sunday,NNP,capitalized,Sunday,DT,lowercase,the,TO,O,wit,NNS,O,some,DT,capitalized,Some,lowercase,witnesses,93,lowercase,to,O
2121,the,sunday,shoot,NN,lowercase,shooting,NNP,capitalized,Sunday,DT,O,to,TO,O,wit,NNS,lowercase,witnesses,lowercase,to,93,lowercase,the,O
2122,sunday,shoot,said,VBD,lowercase,said,NN,lowercase,shooting,NNP,O,the,DT,O,to,TO,lowercase,to,lowercase,the,93,capitalized,Sunday,B-tim
2123,shoot,said,they,PRP,lowercase,they,VBD,lowercase,said,NN,B-tim,sunday,NNP,O,the,DT,lowercase,the,capitalized,Sunday,93,lowercase,shooting,O
2124,said,they,fear,VBD,lowercase,feared,PRP,lowercase,they,VBD,O,shoot,NN,B-tim,sunday,NNP,capitalized,Sunday,lowercase,shooting,93,lowercase,said,O
2125,they,fear,the,DT,lowercase,the,VBD,lowercase,feared,PRP,O,said,VBD,O,shoot,NN,lowercase,shooting,lowercase,said,93,lowercase,they,O
2126,fear,the,attack,NN,lowercase,attack,DT,lowercase,the,VBD,O,they,PRP,O,said,VBD,lowercase,said,lowercase,they,93,lowercase,feared,O
2127,the,attack,was,VBD,lowercase,was,NN,lowercase,attack,DT,O,fear,VBD,O,they,PRP,lowercase,they,lowercase,feared,93,lowercase,the,O
2128,attack,was,link,VBN,lowercase,linked,VBD,lowercase,was,NN,O,the,DT,O,fear,VBD,lowercase,feared,lowercase,the,93,lowercase,attack,O
2129,was,link,to,IN,lowercase,to,VBN,lowercase,linked,VBD,O,attack,NN,O,the,DT,lowercase,the,lowercase,attack,93,lowercase,was,O
2130,link,to,muslim,NN,capitalized,Muslim,IN,lowercase,to,VBN,O,was,VBD,O,attack,NN,lowercase,attack,lowercase,was,93,lowercase,linked,O
2131,to,muslim,anger,NN,lowercase,anger,NN,capitalized,Muslim,IN,O,link,VBN,O,was,VBD,lowercase,was,lowercase,linked,93,lowercase,to,O
2132,muslim,anger,toward,IN,lowercase,toward,NN,lowercase,anger,NN,O,to,IN,O,link,VBN,lowercase,linked,lowercase,to,93,capitalized,Muslim,O
2133,anger,toward,pope,NNP,capitalized,Pope,IN,lowercase,toward,NN,O,muslim,NN,O,to,IN,lowercase,to,capitalized,Muslim,93,lowercase,anger,O
2134,toward,pope,benedict,NNP,capitalized,Benedict,NNP,capitalized,Pope,IN,O,anger,NN,O,muslim,NN,capitalized,Muslim,lowercase,anger,93,lowercase,toward,O
2135,pope,benedict,.,.,punct,.,NNP,capitalized,Benedict,NNP,O,toward,IN,O,anger,NN,lowercase,anger,lowercase,toward,93,capitalized,Pope,B-per
2136,benedict,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNP,B-per,pope,NNP,O,toward,IN,lowercase,toward,capitalized,Pope,93,capitalized,Benedict,I-per
2137,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,I-per,benedict,NNP,B-per,pope,NNP,capitalized,Pope,capitalized,Benedict,93,punct,.,O
2138,two,men,with,IN,lowercase,with,NNS,lowercase,men,CD,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,94,capitalized,Two,O
2139,men,with,pistol,NNS,lowercase,pistols,IN,lowercase,with,NNS,O,two,CD,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Two,94,lowercase,men,O
2140,with,pistol,attack,VBD,lowercase,attacked,NNS,lowercase,pistols,IN,O,men,NNS,O,two,CD,capitalized,Two,lowercase,men,94,lowercase,with,O
2141,pistol,attack,the,DT,lowercase,the,VBD,lowercase,attacked,NNS,O,with,IN,O,men,NNS,lowercase,men,lowercase,with,94,lowercase,pistols,O
2142,attack,the,nun,NN,lowercase,nun,DT,lowercase,the,VBD,O,pistol,NNS,O,with,IN,lowercase,with,lowercase,pistols,94,lowercase,attacked,O
2143,the,nun,",",",",punct,",",NN,lowercase,nun,DT,O,attack,VBD,O,pistol,NNS,lowercase,pistols,lowercase,attacked,94,lowercase,the,O
2144,nun,",",sister,NNP,capitalized,Sister,",",punct,",",NN,O,the,DT,O,attack,VBD,lowercase,attacked,lowercase,the,94,lowercase,nun,O
2145,",",sister,leonella,NNP,capitalized,Leonella,NNP,capitalized,Sister,",",O,nun,NN,O,the,DT,lowercase,the,lowercase,nun,94,punct,",",O
2146,sister,leonella,sgorbati,NNP,capitalized,Sgorbati,NNP,capitalized,Leonella,NNP,O,",",",",O,nun,NN,lowercase,nun,punct,",",94,capitalized,Sister,B-per
2147,leonella,sgorbati,",",",",punct,",",NNP,capitalized,Sgorbati,NNP,B-per,sister,NNP,O,",",",",punct,",",capitalized,Sister,94,capitalized,Leonella,I-per
2148,sgorbati,",",after,IN,lowercase,after,",",punct,",",NNP,I-per,leonella,NNP,B-per,sister,NNP,capitalized,Sister,capitalized,Leonella,94,capitalized,Sgorbati,I-per
2149,",",after,she,PRP,lowercase,she,IN,lowercase,after,",",I-per,sgorbati,NNP,I-per,leonella,NNP,capitalized,Leonella,capitalized,Sgorbati,94,punct,",",O
2150,after,she,finish,VBD,lowercase,finished,PRP,lowercase,she,IN,O,",",",",I-per,sgorbati,NNP,capitalized,Sgorbati,punct,",",94,lowercase,after,O
2151,she,finish,teach,VBG,lowercase,teaching,VBD,lowercase,finished,PRP,O,after,IN,O,",",",",punct,",",lowercase,after,94,lowercase,she,O
2152,finish,teach,a,DT,lowercase,a,VBG,lowercase,teaching,VBD,O,she,PRP,O,after,IN,lowercase,after,lowercase,she,94,lowercase,finished,O
2153,teach,a,medic,JJ,lowercase,medical,DT,lowercase,a,VBG,O,finish,VBD,O,she,PRP,lowercase,she,lowercase,finished,94,lowercase,teaching,O
2154,a,medic,school,NN,lowercase,school,JJ,lowercase,medical,DT,O,teach,VBG,O,finish,VBD,lowercase,finished,lowercase,teaching,94,lowercase,a,O
2155,medic,school,class,NN,lowercase,class,NN,lowercase,school,JJ,O,a,DT,O,teach,VBG,lowercase,teaching,lowercase,a,94,lowercase,medical,O
2156,school,class,at,IN,lowercase,at,NN,lowercase,class,NN,O,medic,JJ,O,a,DT,lowercase,a,lowercase,medical,94,lowercase,school,O
2157,class,at,the,DT,lowercase,the,IN,lowercase,at,NN,O,school,NN,O,medic,JJ,lowercase,medical,lowercase,school,94,lowercase,class,O
2158,at,the,hospit,NN,lowercase,hospital,DT,lowercase,the,IN,O,class,NN,O,school,NN,lowercase,school,lowercase,class,94,lowercase,at,O
2159,the,hospit,in,IN,lowercase,in,NN,lowercase,hospital,DT,O,at,IN,O,class,NN,lowercase,class,lowercase,at,94,lowercase,the,O
2160,hospit,in,southern,JJ,lowercase,southern,IN,lowercase,in,NN,O,the,DT,O,at,IN,lowercase,at,lowercase,the,94,lowercase,hospital,O
2161,in,southern,mogadishu,NNP,capitalized,Mogadishu,JJ,lowercase,southern,IN,O,hospit,NN,O,the,DT,lowercase,the,lowercase,hospital,94,lowercase,in,O
2162,southern,mogadishu,.,.,punct,.,NNP,capitalized,Mogadishu,JJ,O,in,IN,O,hospit,NN,lowercase,hospital,lowercase,in,94,lowercase,southern,O
2163,mogadishu,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNP,O,southern,JJ,O,in,IN,lowercase,in,lowercase,southern,94,capitalized,Mogadishu,B-geo
2164,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,B-geo,mogadishu,NNP,O,southern,JJ,lowercase,southern,capitalized,Mogadishu,94,punct,.,O
2165,offici,say,one,CD,lowercase,one,VBP,lowercase,say,NNS,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,95,capitalized,Officials,O
2166,say,one,suspect,NN,lowercase,suspect,CD,lowercase,one,VBP,O,offici,NNS,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Officials,95,lowercase,say,O
2167,one,suspect,was,VBD,lowercase,was,NN,lowercase,suspect,CD,O,say,VBP,O,offici,NNS,capitalized,Officials,lowercase,say,95,lowercase,one,O
2168,suspect,was,arrest,VBN,lowercase,arrested,VBD,lowercase,was,NN,O,one,CD,O,say,VBP,lowercase,say,lowercase,one,95,lowercase,suspect,O
2169,was,arrest,.,.,punct,.,VBN,lowercase,arrested,VBD,O,suspect,NN,O,one,CD,lowercase,one,lowercase,suspect,95,lowercase,was,O
2170,arrest,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,VBN,O,was,VBD,O,suspect,NN,lowercase,suspect,lowercase,was,95,lowercase,arrested,O
2171,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,arrest,VBN,O,was,VBD,lowercase,was,lowercase,arrested,95,punct,.,O
2172,in,rome,",",",",punct,",",NNP,capitalized,Rome,IN,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,96,capitalized,In,O
2173,rome,",",a,DT,lowercase,a,",",punct,",",NNP,O,in,IN,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,In,96,capitalized,Rome,B-geo
2174,",",a,vatican,NNP,capitalized,Vatican,DT,lowercase,a,",",B-geo,rome,NNP,O,in,IN,capitalized,In,capitalized,Rome,96,punct,",",O
2175,a,vatican,spokesman,NN,lowercase,spokesman,NNP,capitalized,Vatican,DT,O,",",",",B-geo,rome,NNP,capitalized,Rome,punct,",",96,lowercase,a,O
2176,vatican,spokesman,deplor,VBD,lowercase,deplored,NN,lowercase,spokesman,NNP,O,a,DT,O,",",",",punct,",",lowercase,a,96,capitalized,Vatican,B-org
2177,spokesman,deplor,the,DT,lowercase,the,VBD,lowercase,deplored,NN,B-org,vatican,NNP,O,a,DT,lowercase,a,capitalized,Vatican,96,lowercase,spokesman,O
2178,deplor,the,attack,NN,lowercase,attack,DT,lowercase,the,VBD,O,spokesman,NN,B-org,vatican,NNP,capitalized,Vatican,lowercase,spokesman,96,lowercase,deplored,O
2179,the,attack,and,CC,lowercase,and,NN,lowercase,attack,DT,O,deplor,VBD,O,spokesman,NN,lowercase,spokesman,lowercase,deplored,96,lowercase,the,O
2180,attack,and,said,VBD,lowercase,said,CC,lowercase,and,NN,O,the,DT,O,deplor,VBD,lowercase,deplored,lowercase,the,96,lowercase,attack,O
2181,and,said,he,PRP,lowercase,he,VBD,lowercase,said,CC,O,attack,NN,O,the,DT,lowercase,the,lowercase,attack,96,lowercase,and,O
2182,said,he,hope,VBD,lowercase,hoped,PRP,lowercase,he,VBD,O,and,CC,O,attack,NN,lowercase,attack,lowercase,and,96,lowercase,said,O
2183,he,hope,it,PRP,lowercase,it,VBD,lowercase,hoped,PRP,O,said,VBD,O,and,CC,lowercase,and,lowercase,said,96,lowercase,he,O
2184,hope,it,was,VBD,lowercase,was,PRP,lowercase,it,VBD,O,he,PRP,O,said,VBD,lowercase,said,lowercase,he,96,lowercase,hoped,O
2185,it,was,an,DT,lowercase,an,VBD,lowercase,was,PRP,O,hope,VBD,O,he,PRP,lowercase,he,lowercase,hoped,96,lowercase,it,O
2186,was,an,isol,JJ,lowercase,isolated,DT,lowercase,an,VBD,O,it,PRP,O,hope,VBD,lowercase,hoped,lowercase,it,96,lowercase,was,O
2187,an,isol,event,NN,lowercase,event,JJ,lowercase,isolated,DT,O,was,VBD,O,it,PRP,lowercase,it,lowercase,was,96,lowercase,an,O
2188,isol,event,",",",",punct,",",NN,lowercase,event,JJ,O,an,DT,O,was,VBD,lowercase,was,lowercase,an,96,lowercase,isolated,O
2189,event,",",and,CC,lowercase,and,",",punct,",",NN,O,isol,JJ,O,an,DT,lowercase,an,lowercase,isolated,96,lowercase,event,O
2190,",",and,not,RB,lowercase,not,CC,lowercase,and,",",O,event,NN,O,isol,JJ,lowercase,isolated,lowercase,event,96,punct,",",O
2191,and,not,irrate,JJ,lowercase,irrationality,RB,lowercase,not,CC,O,",",",",O,event,NN,lowercase,event,punct,",",96,lowercase,and,O
2192,not,irrate,aris,VBG,lowercase,arising,JJ,lowercase,irrationality,RB,O,and,CC,O,",",",",punct,",",lowercase,and,96,lowercase,not,O
2193,irrate,aris,from,IN,lowercase,from,VBG,lowercase,arising,JJ,O,not,RB,O,and,CC,lowercase,and,lowercase,not,96,lowercase,irrationality,O
2194,aris,from,comment,NNS,lowercase,comments,IN,lowercase,from,VBG,O,irrate,JJ,O,not,RB,lowercase,not,lowercase,irrationality,96,lowercase,arising,O
2195,from,comment,made,VBN,lowercase,made,NNS,lowercase,comments,IN,O,aris,VBG,O,irrate,JJ,lowercase,irrationality,lowercase,arising,96,lowercase,from,O
2196,comment,made,by,IN,lowercase,by,VBN,lowercase,made,NNS,O,from,IN,O,aris,VBG,lowercase,arising,lowercase,from,96,lowercase,comments,O
2197,made,by,the,DT,lowercase,the,IN,lowercase,by,VBN,O,comment,NNS,O,from,IN,lowercase,from,lowercase,comments,96,lowercase,made,O
2198,by,the,pope,NN,capitalized,Pope,DT,lowercase,the,IN,O,made,VBN,O,comment,NNS,lowercase,comments,lowercase,made,96,lowercase,by,O
2199,the,pope,which,WDT,lowercase,which,NN,capitalized,Pope,DT,O,by,IN,O,made,VBN,lowercase,made,lowercase,by,96,lowercase,the,O
2200,pope,which,anger,VBD,lowercase,angered,WDT,lowercase,which,NN,O,the,DT,O,by,IN,lowercase,by,lowercase,the,96,capitalized,Pope,O
2201,which,anger,some,DT,lowercase,some,VBD,lowercase,angered,WDT,O,pope,NN,O,the,DT,lowercase,the,capitalized,Pope,96,lowercase,which,O
2202,anger,some,muslim,NNS,capitalized,Muslims,DT,lowercase,some,VBD,O,which,WDT,O,pope,NN,capitalized,Pope,lowercase,which,96,lowercase,angered,O
2203,some,muslim,.,.,punct,.,NNS,capitalized,Muslims,DT,O,anger,VBD,O,which,WDT,lowercase,which,lowercase,angered,96,lowercase,some,O
2204,muslim,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNS,O,some,DT,O,anger,VBD,lowercase,angered,lowercase,some,96,capitalized,Muslims,O
2205,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,muslim,NNS,O,some,DT,lowercase,some,capitalized,Muslims,96,punct,.,O
2206,author,in,mogadishu,NNP,capitalized,Mogadishu,IN,lowercase,in,NNS,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,97,capitalized,Authorities,O
2207,in,mogadishu,have,VBP,lowercase,have,NNP,capitalized,Mogadishu,IN,O,author,NNS,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Authorities,97,lowercase,in,O
2208,mogadishu,have,not,RB,lowercase,not,VBP,lowercase,have,NNP,O,in,IN,O,author,NNS,capitalized,Authorities,lowercase,in,97,capitalized,Mogadishu,B-geo
2209,have,not,determin,VBN,lowercase,determined,RB,lowercase,not,VBP,B-geo,mogadishu,NNP,O,in,IN,lowercase,in,capitalized,Mogadishu,97,lowercase,have,O
2210,not,determin,a,DT,lowercase,a,VBN,lowercase,determined,RB,O,have,VBP,B-geo,mogadishu,NNP,capitalized,Mogadishu,lowercase,have,97,lowercase,not,O
2211,determin,a,motiv,NN,lowercase,motive,DT,lowercase,a,VBN,O,not,RB,O,have,VBP,lowercase,have,lowercase,not,97,lowercase,determined,O
2212,a,motiv,for,IN,lowercase,for,NN,lowercase,motive,DT,O,determin,VBN,O,not,RB,lowercase,not,lowercase,determined,97,lowercase,a,O
2213,motiv,for,the,DT,lowercase,the,IN,lowercase,for,NN,O,a,DT,O,determin,VBN,lowercase,determined,lowercase,a,97,lowercase,motive,O
2214,for,the,shoot,NN,lowercase,shooting,DT,lowercase,the,IN,O,motiv,NN,O,a,DT,lowercase,a,lowercase,motive,97,lowercase,for,O
2215,the,shoot,.,.,punct,.,NN,lowercase,shooting,DT,O,for,IN,O,motiv,NN,lowercase,motive,lowercase,for,97,lowercase,the,O
2216,shoot,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,the,DT,O,for,IN,lowercase,for,lowercase,the,97,lowercase,shooting,O
2217,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,shoot,NN,O,the,DT,lowercase,the,lowercase,shooting,97,punct,.,O
2218,the,pope,has,VBZ,lowercase,has,NN,lowercase,pope,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,98,capitalized,The,O
2219,pope,has,said,VBN,lowercase,said,VBZ,lowercase,has,NN,O,the,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,The,98,lowercase,pope,O
2220,has,said,he,PRP,lowercase,he,VBN,lowercase,said,VBZ,O,pope,NN,O,the,DT,capitalized,The,lowercase,pope,98,lowercase,has,O
2221,said,he,meant,VBD,lowercase,meant,PRP,lowercase,he,VBN,O,has,VBZ,O,pope,NN,lowercase,pope,lowercase,has,98,lowercase,said,O
2222,he,meant,no,DT,lowercase,no,VBD,lowercase,meant,PRP,O,said,VBN,O,has,VBZ,lowercase,has,lowercase,said,98,lowercase,he,O
2223,meant,no,offens,NN,lowercase,offense,DT,lowercase,no,VBD,O,he,PRP,O,said,VBN,lowercase,said,lowercase,he,98,lowercase,meant,O
2224,no,offens,to,TO,lowercase,to,NN,lowercase,offense,DT,O,meant,VBD,O,he,PRP,lowercase,he,lowercase,meant,98,lowercase,no,O
2225,offens,to,muslim,NNPS,capitalized,Muslims,TO,lowercase,to,NN,O,no,DT,O,meant,VBD,lowercase,meant,lowercase,no,98,lowercase,offense,O
2226,to,muslim,when,WRB,lowercase,when,NNPS,capitalized,Muslims,TO,O,offens,NN,O,no,DT,lowercase,no,lowercase,offense,98,lowercase,to,O
2227,muslim,when,he,PRP,lowercase,he,WRB,lowercase,when,NNPS,O,to,TO,O,offens,NN,lowercase,offense,lowercase,to,98,capitalized,Muslims,O
2228,when,he,quot,VBD,lowercase,quoted,PRP,lowercase,he,WRB,O,muslim,NNPS,O,to,TO,lowercase,to,capitalized,Muslims,98,lowercase,when,O
2229,he,quot,a,DT,lowercase,a,VBD,lowercase,quoted,PRP,O,when,WRB,O,muslim,NNPS,capitalized,Muslims,lowercase,when,98,lowercase,he,O
2230,quot,a,14,CD,number,14,DT,lowercase,a,VBD,O,he,PRP,O,when,WRB,lowercase,when,lowercase,he,98,lowercase,quoted,O
2231,a,14,centuri,NN,lowercase,century,CD,number,14,DT,O,quot,VBD,O,he,PRP,lowercase,he,lowercase,quoted,98,lowercase,a,O
2232,14,centuri,byzantin,NNP,capitalized,Byzantine,NN,lowercase,century,CD,O,a,DT,O,quot,VBD,lowercase,quoted,lowercase,a,98,number,14,O
2233,centuri,byzantin,emperor,NN,lowercase,emperor,NNP,capitalized,Byzantine,NN,O,14,CD,O,a,DT,lowercase,a,number,14,98,lowercase,century,O
2234,byzantin,emperor,as,IN,lowercase,as,NN,lowercase,emperor,NNP,O,centuri,NN,O,14,CD,number,14,lowercase,century,98,capitalized,Byzantine,B-per
2235,emperor,as,say,VBG,lowercase,saying,IN,lowercase,as,NN,B-per,byzantin,NNP,O,centuri,NN,lowercase,century,capitalized,Byzantine,98,lowercase,emperor,O
2236,as,say,some,DT,lowercase,some,VBG,lowercase,saying,IN,O,emperor,NN,B-per,byzantin,NNP,capitalized,Byzantine,lowercase,emperor,98,lowercase,as,O
2237,say,some,teach,NNS,lowercase,teachings,DT,lowercase,some,VBG,O,as,IN,O,emperor,NN,lowercase,emperor,lowercase,as,98,lowercase,saying,O
2238,some,teach,of,IN,lowercase,of,NNS,lowercase,teachings,DT,O,say,VBG,O,as,IN,lowercase,as,lowercase,saying,98,lowercase,some,O
2239,teach,of,the,DT,lowercase,the,IN,lowercase,of,NNS,O,some,DT,O,say,VBG,lowercase,saying,lowercase,some,98,lowercase,teachings,O
2240,of,the,prophet,NNP,capitalized,Prophet,DT,lowercase,the,IN,O,teach,NNS,O,some,DT,lowercase,some,lowercase,teachings,98,lowercase,of,O
2241,the,prophet,muham,NNP,capitalized,Muhammed,NNP,capitalized,Prophet,DT,O,of,IN,O,teach,NNS,lowercase,teachings,lowercase,of,98,lowercase,the,O
2242,prophet,muham,brought,VBD,lowercase,brought,NNP,capitalized,Muhammed,NNP,O,the,DT,O,of,IN,lowercase,of,lowercase,the,98,capitalized,Prophet,B-per
2243,muham,brought,evil,NN,lowercase,evil,VBD,lowercase,brought,NNP,B-per,prophet,NNP,O,the,DT,lowercase,the,capitalized,Prophet,98,capitalized,Muhammed,I-per
2244,brought,evil,to,TO,lowercase,to,NN,lowercase,evil,VBD,I-per,muham,NNP,B-per,prophet,NNP,capitalized,Prophet,capitalized,Muhammed,98,lowercase,brought,O
2245,evil,to,the,DT,lowercase,the,TO,lowercase,to,NN,O,brought,VBD,I-per,muham,NNP,capitalized,Muhammed,lowercase,brought,98,lowercase,evil,O
2246,to,the,world,NN,lowercase,world,DT,lowercase,the,TO,O,evil,NN,O,brought,VBD,lowercase,brought,lowercase,evil,98,lowercase,to,O
2247,the,world,.,.,punct,.,NN,lowercase,world,DT,O,to,TO,O,evil,NN,lowercase,evil,lowercase,to,98,lowercase,the,O
2248,world,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,the,DT,O,to,TO,lowercase,to,lowercase,the,98,lowercase,world,O
2249,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,world,NN,O,the,DT,lowercase,the,lowercase,world,98,punct,.,O
2250,pakistani,forc,have,VBP,lowercase,have,NNS,lowercase,forces,JJ,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,99,capitalized,Pakistani,B-gpe
2251,forc,have,target,VBN,lowercase,targeted,VBP,lowercase,have,NNS,B-gpe,pakistani,JJ,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Pakistani,99,lowercase,forces,O
2252,have,target,milit,NNS,lowercase,militants,VBN,lowercase,targeted,VBP,O,forc,NNS,B-gpe,pakistani,JJ,capitalized,Pakistani,lowercase,forces,99,lowercase,have,O
2253,target,milit,in,IN,lowercase,in,NNS,lowercase,militants,VBN,O,have,VBP,O,forc,NNS,lowercase,forces,lowercase,have,99,lowercase,targeted,O
2254,milit,in,the,DT,lowercase,the,IN,lowercase,in,NNS,O,target,VBN,O,have,VBP,lowercase,have,lowercase,targeted,99,lowercase,militants,O
2255,in,the,northwest,NN,lowercase,northwest,DT,lowercase,the,IN,O,milit,NNS,O,target,VBN,lowercase,targeted,lowercase,militants,99,lowercase,in,O
2256,the,northwest,for,IN,lowercase,for,NN,lowercase,northwest,DT,O,in,IN,O,milit,NNS,lowercase,militants,lowercase,in,99,lowercase,the,O
2257,northwest,for,a,DT,lowercase,a,IN,lowercase,for,NN,O,the,DT,O,in,IN,lowercase,in,lowercase,the,99,lowercase,northwest,O
2258,for,a,third,JJ,lowercase,third,DT,lowercase,a,IN,O,northwest,NN,O,the,DT,lowercase,the,lowercase,northwest,99,lowercase,for,O
2259,a,third,day,NN,lowercase,day,JJ,lowercase,third,DT,O,for,IN,O,northwest,NN,lowercase,northwest,lowercase,for,99,lowercase,a,O
2260,third,day,",",",",punct,",",NN,lowercase,day,JJ,O,a,DT,O,for,IN,lowercase,for,lowercase,a,99,lowercase,third,O
2261,day,",",launch,VBG,lowercase,launching,",",punct,",",NN,O,third,JJ,O,a,DT,lowercase,a,lowercase,third,99,lowercase,day,O
2262,",",launch,airstrik,NNS,lowercase,airstrikes,VBG,lowercase,launching,",",O,day,NN,O,third,JJ,lowercase,third,lowercase,day,99,punct,",",O
2263,launch,airstrik,that,IN,lowercase,that,NNS,lowercase,airstrikes,VBG,O,",",",",O,day,NN,lowercase,day,punct,",",99,lowercase,launching,O
2264,airstrik,that,they,PRP,lowercase,they,IN,lowercase,that,NNS,O,launch,VBG,O,",",",",punct,",",lowercase,launching,99,lowercase,airstrikes,O
2265,that,they,say,VBP,lowercase,say,PRP,lowercase,they,IN,O,airstrik,NNS,O,launch,VBG,lowercase,launching,lowercase,airstrikes,99,lowercase,that,O
2266,they,say,kill,VBN,lowercase,killed,VBP,lowercase,say,PRP,O,that,IN,O,airstrik,NNS,lowercase,airstrikes,lowercase,that,99,lowercase,they,O
2267,say,kill,at,IN,lowercase,at,VBN,lowercase,killed,VBP,O,they,PRP,O,that,IN,lowercase,that,lowercase,they,99,lowercase,say,O
2268,kill,at,least,JJS,lowercase,least,IN,lowercase,at,VBN,O,say,VBP,O,they,PRP,lowercase,they,lowercase,say,99,lowercase,killed,O
2269,at,least,nine,CD,lowercase,nine,JJS,lowercase,least,IN,O,kill,VBN,O,say,VBP,lowercase,say,lowercase,killed,99,lowercase,at,O
2270,least,nine,suspect,JJ,lowercase,suspected,CD,lowercase,nine,JJS,O,at,IN,O,kill,VBN,lowercase,killed,lowercase,at,99,lowercase,least,O
2271,nine,suspect,insurg,NNS,lowercase,insurgents,JJ,lowercase,suspected,CD,O,least,JJS,O,at,IN,lowercase,at,lowercase,least,99,lowercase,nine,O
2272,suspect,insurg,.,.,punct,.,NNS,lowercase,insurgents,JJ,O,nine,CD,O,least,JJS,lowercase,least,lowercase,nine,99,lowercase,suspected,O
2273,insurg,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNS,O,suspect,JJ,O,nine,CD,lowercase,nine,lowercase,suspected,99,lowercase,insurgents,O
2274,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,insurg,NNS,O,suspect,JJ,lowercase,suspected,lowercase,insurgents,99,punct,.,O
2275,helicopt,gunship,saturday,NNP,capitalized,Saturday,NNS,lowercase,gunships,NN,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,100,capitalized,Helicopter,O
2276,gunship,saturday,pound,VBD,lowercase,pounded,NNP,capitalized,Saturday,NNS,O,helicopt,NN,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Helicopter,100,lowercase,gunships,O
